ticker,name,close,gross_margin_ttm,operating_margin_ttm,net_margin_ttm,ebitda_margin_ttm
OTC:BHPLF,BHPLF,27.5000,37.26%,37.26%,17.60%,48.07%
NYSE:TD,TD,80.9400,,19.02%,16.54%,
NASDAQ:HONIV,HONIV,206.0000,37.12%,19.28%,15.07%,23.09%
OTC:HTHIF,HTHIF,30.1900,28.91%,10.02%,6.44%,14.41%
OTC:PIAIF,PIAIF,7.0000,,32.16%,10.63%,
NYSE:LOW,LOW,243.9900,31.33%,12.19%,8.18%,14.62%
NASDAQ:HON,HON,214.9200,37.12%,19.28%,15.07%,23.09%
NYSE:SPOT,SPOT,665.7500,31.46%,11.09%,4.76%,11.77%
OTC:TTFNF,TTFNF,62.3200,11.87%,11.87%,6.87%,18.46%
OTC:ABLZF,ABLZF,72.9920,39.24%,16.43%,12.91%,18.83%
OTC:IBDSF,IBDSF,19.9450,22.20%,18.59%,11.24%,34.61%
NASDAQ:CRWD,CRWD,523.6000,74.00%,-5.61%,-6.84%,0.03%
NYSE:UNP,UNP,216.5200,45.82%,40.48%,28.73%,50.59%
NYSE:PGR,PGR,218.1800,,16.19%,12.58%,
NYSE:DE,DE,471.0250,39.89%,21.97%,11.72%,26.90%
OTC:BYDDF,BYDDF,13.4700,17.17%,3.67%,4.95%,12.39%
OTC:RLLCF,RLLCF,0.0035,24.40%,15.55%,29.62%,20.07%
NASDAQ:HOOD,HOOD,139.0000,88.35%,42.82%,49.85%,45.14%
OTC:RYCEF,RYCEF,14.6680,24.40%,15.55%,29.62%,20.07%
OTC:SNYNF,SNYNF,100.9660,65.42%,24.88%,15.55%,34.86%
OTC:BUDFF,BUDFF,61.2400,55.69%,25.21%,12.15%,34.43%
NYSE:UBS,UBS,38.1000,,8.13%,7.65%,
OTC:RTNTF,RTNTF,85.0000,24.29%,24.29%,19.07%,37.06%
NASDAQ:CEG,CEG,385.3500,17.69%,15.26%,11.94%,25.62%
NYSE:MDT,MDT,93.3700,59.81%,18.47%,13.63%,27.09%
OTC:PLDGP,PLDGP,56.7500,,,,
OTC:FRCOF,FRCOF,380.5000,47.42%,16.21%,12.73%,22.57%
OTC:CHDRF,CHDRF,662.1250,66.03%,21.57%,5.50%,29.59%
OTC:RTPPF,RTPPF,69.4800,24.27%,24.27%,19.12%,37.05%
OTC:CFRHF,CFRHF,200.5625,66.66%,21.27%,17.58%,28.55%
NASDAQ:ADI,ADI,238.1300,52.94%,25.33%,18.85%,44.81%
OTC:ZIJMF,ZIJMF,4.2900,26.81%,18.32%,13.92%,
OTC:AIQUF,AIQUF,199.8500,35.06%,20.17%,12.50%,29.53%
NYSE:BN,BN,46.4700,26.18%,22.84%,1.09%,35.52%
NASDAQ:ADP,ADP,281.9150,50.37%,26.32%,19.84%,29.15%
OTC:BBVXF,BBVXF,19.7650,,27.96%,12.85%,
OTC:IITSF,IITSF,6.3900,,26.33%,18.62%,
OTC:BROXF,BROXF,15.0000,26.18%,22.84%,1.09%,35.52%
OTC:BAMGF,BAMGF,14.1813,26.18%,22.84%,1.09%,35.52%
NYSE:CB,CB,281.7700,,20.44%,16.54%,
NYSE:LMT,LMT,484.2100,8.16%,8.16%,5.73%,10.46%
OTC:BTAFF,BTAFF,51.3240,64.79%,18.07%,11.90%,25.26%
OTC:UNCFF,UNCFF,71.5450,,42.24%,33.38%,
NASDAQ:DASH,DASH,260.6600,45.08%,4.93%,6.57%,9.89%
NYSE:COP,COP,88.6200,27.83%,21.98%,15.88%,40.57%
NASDAQ:MELI,MELI,2159.1700,45.87%,12.30%,8.52%,15.13%
